Amount,Category,Reason,Mood,Date,User ID
418162,Tersier,Irasional,Buruk,2024-04-07,19
402528,Tidak Terduga,Gaya Hidup,Tidak Baik,2024-04-08,11
249684,Primer,Luxury,Buruk,2024-04-09,6
732729,Tersier,Gaya Hidup,Tidak Baik,2024-04-10,8
309946,Sekunder,Luxury,Baik,2024-04-11,4
765911,Tidak Terduga,Sial,Baik,2024-04-12,5
746751,Tersier,Kewajiban,Baik,2024-04-13,2
709514,Tidak Terduga,Luxury,Senang,2024-04-14,6
104870,Tersier,Esensial,Tidak Baik,2024-04-15,4
668720,Primer,Sial,Buruk,2024-04-16,19
695822,Primer,Irasional,Buruk,2024-04-17,3
209451,Sekunder,Teratur,Buruk,2024-04-18,12
590086,Tersier,Esensial,Tidak Baik,2024-04-19,1
794544,Primer,Teratur,Buruk,2024-04-20,12
286702,Sekunder,Esensial,Buruk,2024-04-21,16
201339,Tersier,Kewajiban,Buruk,2024-04-22,13
514714,Sekunder,Terencana,Buruk,2024-04-23,9
427887,Primer,Teratur,Baik,2024-04-24,10
313060,Sekunder,Irasional,Baik,2024-04-25,19
701088,Tersier,Teratur,Buruk,2024-04-26,15
751590,Tidak Terduga,Kewajiban,Buruk,2024-04-27,10
614004,Primer,Esensial,Senang,2024-04-28,16
260283,Tersier,Gaya Hidup,Baik,2024-04-29,1
747870,Tersier,Luxury,Tidak Baik,2024-04-30,2
370035,Sekunder,Sial,Buruk,2024-05-01,1
913794,Primer,Terencana,Baik,2024-05-02,5
835635,Tidak Terduga,Teratur,Buruk,2024-05-03,14
843694,Tidak Terduga,Gaya Hidup,Tidak Baik,2024-05-04,18
88655,Sekunder,Irasional,Senang,2024-05-05,15
270174,Primer,Teratur,Buruk,2024-05-06,13
891722,Tidak Terduga,Esensial,Baik,2024-05-07,10
63659,Primer,Teratur,Baik,2024-05-08,10
874151,Sekunder,Sial,Baik,2024-05-09,18
360776,Primer,Luxury,Baik,2024-05-10,14
450651,Primer,Gaya Hidup,Senang,2024-05-11,16
310746,Primer,Terencana,Senang,2024-05-12,13
99403,Sekunder,Luxury,Buruk,2024-05-13,10
251231,Sekunder,Esensial,Buruk,2024-05-14,19
987492,Sekunder,Irasional,Baik,2024-05-15,15
624731,Tidak Terduga,Terencana,Tidak Baik,2024-05-16,19
948938,Tersier,Esensial,Tidak Baik,2024-05-17,15
782787,Primer,Teratur,Baik,2024-05-18,10
359963,Tersier,Luxury,Senang,2024-05-19,3
252955,Primer,Luxury,Buruk,2024-05-20,14
717277,Primer,Teratur,Buruk,2024-05-21,7
553481,Primer,Teratur,Baik,2024-05-22,13
444850,Sekunder,Esensial,Tidak Baik,2024-05-23,12
957657,Tidak Terduga,Teratur,Tidak Baik,2024-05-24,14
988972,Sekunder,Teratur,Baik,2024-05-25,2
704079,Primer,Irasional,Baik,2024-05-26,9
511141,Tersier,Luxury,Buruk,2024-05-27,11
179811,Primer,Gaya Hidup,Buruk,2024-05-28,2
307746,Primer,Sial,Buruk,2024-05-29,1
176413,Tidak Terduga,Esensial,Buruk,2024-05-30,14
288607,Primer,Kewajiban,Baik,2024-05-31,8
811177,Sekunder,Sial,Buruk,2024-06-01,12
618637,Tidak Terduga,Kewajiban,Senang,2024-06-02,11
595158,Tidak Terduga,Teratur,Tidak Baik,2024-06-03,8
305504,Tidak Terduga,Esensial,Senang,2024-06-04,16
813300,Primer,Gaya Hidup,Senang,2024-06-05,7
642982,Tidak Terduga,Teratur,Tidak Baik,2024-06-06,2
479245,Tidak Terduga,Gaya Hidup,Buruk,2024-06-07,19
971435,Sekunder,Kewajiban,Tidak Baik,2024-06-08,13
641878,Tersier,Gaya Hidup,Baik,2024-06-09,9
448801,Sekunder,Teratur,Baik,2024-06-10,19
409580,Sekunder,Teratur,Buruk,2024-06-11,14
259974,Tersier,Kewajiban,Baik,2024-06-12,20
175051,Tersier,Irasional,Buruk,2024-06-13,6
564277,Tidak Terduga,Sial,Buruk,2024-06-14,15
547488,Sekunder,Terencana,Senang,2024-06-15,15
125325,Primer,Gaya Hidup,Tidak Baik,2024-06-16,3
822495,Sekunder,Teratur,Baik,2024-06-17,4
79405,Tersier,Teratur,Tidak Baik,2024-06-18,19
932931,Tidak Terduga,Irasional,Tidak Baik,2024-06-19,12
144975,Tidak Terduga,Gaya Hidup,Buruk,2024-06-20,5
190265,Tidak Terduga,Teratur,Senang,2024-06-21,19
687924,Primer,Terencana,Baik,2024-06-22,13
197753,Primer,Terencana,Tidak Baik,2024-06-23,8
860555,Tersier,Sial,Tidak Baik,2024-06-24,11
743536,Tidak Terduga,Teratur,Tidak Baik,2024-06-25,7
472666,Sekunder,Terencana,Baik,2024-06-26,2
655380,Tidak Terduga,Sial,Tidak Baik,2024-06-27,12
96613,Sekunder,Kewajiban,Buruk,2024-06-28,19
433457,Sekunder,Luxury,Senang,2024-06-29,15
430156,Primer,Irasional,Senang,2024-06-30,1
654834,Tidak Terduga,Irasional,Buruk,2024-07-01,6
520785,Tersier,Gaya Hidup,Tidak Baik,2024-07-02,12
584816,Tidak Terduga,Sial,Buruk,2024-07-03,12
293626,Tidak Terduga,Sial,Baik,2024-07-04,4
610099,Tersier,Irasional,Baik,2024-07-05,6
932592,Tersier,Irasional,Tidak Baik,2024-07-06,17
42038,Tidak Terduga,Gaya Hidup,Baik,2024-07-07,6
743328,Tersier,Sial,Tidak Baik,2024-07-08,15
785731,Sekunder,Esensial,Buruk,2024-07-09,14
150116,Primer,Irasional,Tidak Baik,2024-07-10,7
744825,Tersier,Irasional,Tidak Baik,2024-07-11,14
957767,Sekunder,Kewajiban,Tidak Baik,2024-07-12,10
593054,Primer,Terencana,Baik,2024-07-13,8
817352,Tersier,Gaya Hidup,Baik,2024-07-14,3
309786,Primer,Gaya Hidup,Tidak Baik,2024-07-15,11
835934,Tidak Terduga,Terencana,Baik,2024-07-16,20
702097,Tersier,Irasional,Baik,2024-07-17,10
386699,Sekunder,Sial,Baik,2024-07-18,17
146970,Sekunder,Terencana,Buruk,2024-07-19,20
337757,Primer,Sial,Buruk,2024-07-20,18
485884,Sekunder,Terencana,Senang,2024-07-21,19
195840,Sekunder,Irasional,Tidak Baik,2024-07-22,11
505763,Tersier,Sial,Senang,2024-07-23,20
33402,Primer,Kewajiban,Buruk,2024-07-24,13
787168,Sekunder,Luxury,Baik,2024-07-25,12
948398,Tidak Terduga,Gaya Hidup,Tidak Baik,2024-07-26,10
784639,Tersier,Sial,Senang,2024-07-27,14
306183,Sekunder,Teratur,Buruk,2024-07-28,14
554902,Sekunder,Gaya Hidup,Buruk,2024-07-29,8
828975,Sekunder,Teratur,Tidak Baik,2024-07-30,10
217330,Tersier,Esensial,Senang,2024-07-31,11
562342,Tersier,Esensial,Buruk,2024-08-01,9
986959,Primer,Luxury,Buruk,2024-08-02,10
141579,Tersier,Sial,Baik,2024-08-03,8
942804,Sekunder,Irasional,Tidak Baik,2024-08-04,10
685674,Sekunder,Irasional,Baik,2024-08-05,9
342942,Tidak Terduga,Irasional,Tidak Baik,2024-08-06,3
912554,Tersier,Luxury,Senang,2024-08-07,10
699987,Sekunder,Irasional,Buruk,2024-08-08,20
562323,Tidak Terduga,Sial,Baik,2024-08-09,4
668551,Primer,Terencana,Baik,2024-08-10,13
238573,Primer,Kewajiban,Senang,2024-08-11,19
190263,Primer,Irasional,Tidak Baik,2024-08-12,20
422077,Sekunder,Esensial,Tidak Baik,2024-08-13,19
829550,Sekunder,Kewajiban,Buruk,2024-08-14,8
199396,Primer,Irasional,Baik,2024-08-15,20
595579,Tidak Terduga,Gaya Hidup,Tidak Baik,2024-08-16,8
846449,Primer,Teratur,Tidak Baik,2024-08-17,9
997242,Tersier,Irasional,Buruk,2024-08-18,9
586116,Sekunder,Terencana,Tidak Baik,2024-08-19,19
993110,Sekunder,Luxury,Baik,2024-08-20,15
30599,Tersier,Sial,Baik,2024-08-21,10
658038,Sekunder,Luxury,Senang,2024-08-22,8
369902,Tersier,Esensial,Tidak Baik,2024-08-23,19
542340,Primer,Irasional,Senang,2024-08-24,9
50422,Primer,Irasional,Baik,2024-08-25,14
147301,Sekunder,Teratur,Tidak Baik,2024-08-26,9
410612,Sekunder,Teratur,Baik,2024-08-27,1
951406,Primer,Sial,Buruk,2024-08-28,17
902064,Tersier,Esensial,Buruk,2024-08-29,18
875964,Primer,Luxury,Senang,2024-08-30,6
352451,Tersier,Esensial,Tidak Baik,2024-08-31,5
281083,Tidak Terduga,Gaya Hidup,Tidak Baik,2024-09-01,8
90738,Primer,Terencana,Baik,2024-09-02,2
282572,Tersier,Sial,Baik,2024-09-03,19
950659,Tersier,Gaya Hidup,Tidak Baik,2024-09-04,11
624916,Tersier,Terencana,Senang,2024-09-05,17
112582,Sekunder,Teratur,Senang,2024-09-06,14
119814,Sekunder,Gaya Hidup,Buruk,2024-09-07,5
797460,Tidak Terduga,Esensial,Senang,2024-09-08,20
539597,Tidak Terduga,Kewajiban,Tidak Baik,2024-09-09,16
885662,Tersier,Kewajiban,Buruk,2024-09-10,7
102574,Sekunder,Irasional,Baik,2024-09-11,19
827549,Tersier,Irasional,Buruk,2024-09-12,18
588582,Sekunder,Kewajiban,Buruk,2024-09-13,17
833035,Sekunder,Teratur,Baik,2024-09-14,19
161869,Tidak Terduga,Irasional,Buruk,2024-09-15,9
164628,Tersier,Gaya Hidup,Tidak Baik,2024-09-16,4
721798,Tersier,Irasional,Senang,2024-09-17,8
528369,Sekunder,Terencana,Tidak Baik,2024-09-18,6
606510,Sekunder,Terencana,Buruk,2024-09-19,4
203148,Primer,Irasional,Tidak Baik,2024-09-20,1
307932,Tidak Terduga,Terencana,Baik,2024-09-21,19
583306,Primer,Irasional,Buruk,2024-09-22,15
944812,Sekunder,Kewajiban,Tidak Baik,2024-09-23,5
666059,Tersier,Kewajiban,Baik,2024-09-24,2
473692,Sekunder,Luxury,Baik,2024-09-25,6
252086,Primer,Gaya Hidup,Tidak Baik,2024-09-26,4
595492,Tidak Terduga,Terencana,Senang,2024-09-27,16
821952,Sekunder,Teratur,Senang,2024-09-28,2
795388,Tersier,Irasional,Senang,2024-09-29,16
753378,Primer,Terencana,Tidak Baik,2024-09-30,11
240922,Sekunder,Esensial,Buruk,2024-10-01,10
777581,Tersier,Gaya Hidup,Tidak Baik,2024-10-02,17
356858,Tersier,Sial,Baik,2024-10-03,12
448373,Sekunder,Esensial,Tidak Baik,2024-10-04,7
734314,Primer,Kewajiban,Buruk,2024-10-05,10
711446,Tersier,Kewajiban,Senang,2024-10-06,14
421559,Tidak Terduga,Irasional,Buruk,2024-10-07,12
489381,Primer,Irasional,Tidak Baik,2024-10-08,11
973313,Tersier,Terencana,Buruk,2024-10-09,16
572717,Sekunder,Irasional,Baik,2024-10-10,19
503417,Sekunder,Gaya Hidup,Tidak Baik,2024-10-11,5
156882,Primer,Gaya Hidup,Senang,2024-10-12,5
289947,Tersier,Luxury,Tidak Baik,2024-10-13,2
265612,Tersier,Gaya Hidup,Tidak Baik,2024-10-14,8
97136,Primer,Gaya Hidup,Senang,2024-10-15,1
384508,Primer,Teratur,Senang,2024-10-16,2
52056,Primer,Sial,Baik,2024-10-17,10
646886,Tidak Terduga,Gaya Hidup,Buruk,2024-10-18,9
610828,Tidak Terduga,Kewajiban,Senang,2024-10-19,19
271292,Tidak Terduga,Sial,Senang,2024-10-20,14
647024,Sekunder,Teratur,Baik,2024-10-21,10
260914,Tidak Terduga,Gaya Hidup,Baik,2024-10-22,13
37540,Tidak Terduga,Teratur,Senang,2024-10-23,3
104441,Tidak Terduga,Esensial,Baik,2024-10-24,5
772225,Tersier,Gaya Hidup,Baik,2024-10-25,20
691759,Tidak Terduga,Teratur,Senang,2024-10-26,8
91733,Primer,Terencana,Tidak Baik,2024-10-27,19
270062,Tidak Terduga,Irasional,Tidak Baik,2024-10-28,2
100674,Sekunder,Sial,Tidak Baik,2024-10-29,1
979401,Sekunder,Kewajiban,Senang,2024-10-30,5
62938,Tidak Terduga,Gaya Hidup,Buruk,2024-10-31,12
931393,Primer,Kewajiban,Tidak Baik,2024-11-01,4
376479,Primer,Terencana,Senang,2024-11-02,5
104299,Tersier,Kewajiban,Buruk,2024-11-03,4
569131,Primer,Irasional,Buruk,2024-11-04,7
279565,Tersier,Kewajiban,Senang,2024-11-05,15
322004,Tersier,Terencana,Buruk,2024-11-06,11
731474,Primer,Kewajiban,Buruk,2024-11-07,13
538993,Primer,Luxury,Baik,2024-11-08,12
254643,Tersier,Esensial,Senang,2024-11-09,17
595427,Sekunder,Teratur,Baik,2024-11-10,20
168739,Tidak Terduga,Sial,Buruk,2024-11-11,13
788490,Sekunder,Sial,Baik,2024-11-12,7
955245,Primer,Kewajiban,Senang,2024-11-13,11
628782,Primer,Esensial,Tidak Baik,2024-11-14,19
634201,Tersier,Esensial,Baik,2024-11-15,11
525631,Tidak Terduga,Terencana,Baik,2024-11-16,16
284801,Primer,Esensial,Senang,2024-11-17,1
852733,Tidak Terduga,Esensial,Senang,2024-11-18,18
525948,Sekunder,Kewajiban,Senang,2024-11-19,14
876721,Tidak Terduga,Teratur,Baik,2024-11-20,3
456833,Sekunder,Esensial,Buruk,2024-11-21,19
229659,Primer,Irasional,Senang,2024-11-22,20
128907,Primer,Terencana,Senang,2024-11-23,7
131639,Tersier,Sial,Baik,2024-11-24,3
720993,Sekunder,Sial,Baik,2024-11-25,9
481989,Sekunder,Luxury,Baik,2024-11-26,12
401507,Tidak Terduga,Irasional,Baik,2024-11-27,18
474154,Tersier,Luxury,Tidak Baik,2024-11-28,10
461071,Tersier,Luxury,Tidak Baik,2024-11-29,7
519710,Tersier,Luxury,Buruk,2024-11-30,9
935798,Sekunder,Luxury,Buruk,2024-12-01,11
794491,Primer,Teratur,Senang,2024-12-02,13
86802,Primer,Luxury,Tidak Baik,2024-12-03,13
736073,Tidak Terduga,Irasional,Buruk,2024-12-04,8
715197,Tidak Terduga,Irasional,Senang,2024-12-05,3
707568,Sekunder,Esensial,Buruk,2024-12-06,3
133198,Primer,Luxury,Senang,2024-12-07,8
93556,Tersier,Luxury,Senang,2024-12-08,18
452179,Primer,Kewajiban,Baik,2024-12-09,18
793587,Tidak Terduga,Esensial,Senang,2024-12-10,12
385784,Primer,Sial,Baik,2024-12-11,2
869482,Tersier,Irasional,Baik,2024-12-12,7
933529,Tidak Terduga,Gaya Hidup,Buruk,2024-12-13,10
144576,Sekunder,Esensial,Senang,2024-12-14,6
290735,Primer,Kewajiban,Tidak Baik,2024-12-15,7
230896,Primer,Terencana,Senang,2024-12-16,14
229448,Sekunder,Teratur,Tidak Baik,2024-12-17,6
592336,Sekunder,Luxury,Baik,2024-12-18,5
500405,Tersier,Sial,Buruk,2024-12-19,2
176991,Primer,Sial,Baik,2024-12-20,8
472374,Tidak Terduga,Irasional,Baik,2024-12-21,7
222401,Primer,Teratur,Senang,2024-12-22,10
322075,Tersier,Esensial,Tidak Baik,2024-12-23,15
515100,Tidak Terduga,Luxury,Tidak Baik,2024-12-24,10
291941,Tidak Terduga,Esensial,Tidak Baik,2024-12-25,6
946964,Tidak Terduga,Luxury,Buruk,2024-12-26,9
998114,Tersier,Esensial,Baik,2024-12-27,14
109046,Primer,Luxury,Baik,2024-12-28,7
494656,Tidak Terduga,Sial,Tidak Baik,2024-12-29,4
877272,Sekunder,Teratur,Tidak Baik,2024-12-30,1
933189,Tersier,Sial,Baik,2024-12-31,10
927546,Tidak Terduga,Irasional,Tidak Baik,2025-01-01,8
607057,Tersier,Kewajiban,Tidak Baik,2025-01-02,15
132664,Sekunder,Luxury,Buruk,2025-01-03,19
83045,Tidak Terduga,Irasional,Senang,2025-01-04,14
713823,Primer,Sial,Tidak Baik,2025-01-05,17
596847,Tersier,Kewajiban,Buruk,2025-01-06,13
906638,Tidak Terduga,Irasional,Senang,2025-01-07,18
45474,Tidak Terduga,Terencana,Buruk,2025-01-08,1
127793,Tersier,Teratur,Buruk,2025-01-09,2
820170,Sekunder,Gaya Hidup,Baik,2025-01-10,18
919921,Tersier,Esensial,Baik,2025-01-11,11
277861,Primer,Gaya Hidup,Senang,2025-01-12,5
204389,Sekunder,Sial,Senang,2025-01-13,19
456156,Primer,Kewajiban,Buruk,2025-01-14,9
539231,Primer,Terencana,Senang,2025-01-15,13
534740,Tersier,Sial,Baik,2025-01-16,19
254130,Tidak Terduga,Gaya Hidup,Baik,2025-01-17,2
936651,Sekunder,Sial,Tidak Baik,2025-01-18,5
450521,Primer,Kewajiban,Baik,2025-01-19,3
976279,Tidak Terduga,Sial,Tidak Baik,2025-01-20,16
91483,Tidak Terduga,Teratur,Tidak Baik,2025-01-21,15
202634,Tidak Terduga,Teratur,Buruk,2025-01-22,10
427382,Sekunder,Teratur,Senang,2025-01-23,3
32260,Tidak Terduga,Gaya Hidup,Baik,2025-01-24,15
439386,Tersier,Kewajiban,Tidak Baik,2025-01-25,9
308085,Primer,Kewajiban,Baik,2025-01-26,7
852157,Tidak Terduga,Irasional,Senang,2025-01-27,2
853267,Primer,Esensial,Tidak Baik,2025-01-28,10
507110,Sekunder,Gaya Hidup,Senang,2025-01-29,7
329105,Primer,Luxury,Baik,2025-01-30,11
473555,Tidak Terduga,Irasional,Baik,2025-01-31,2
760429,Sekunder,Terencana,Tidak Baik,2025-02-01,5
795990,Sekunder,Teratur,Baik,2025-02-02,8
851414,Sekunder,Terencana,Buruk,2025-02-03,18
612765,Sekunder,Sial,Buruk,2025-02-04,12
724022,Sekunder,Kewajiban,Tidak Baik,2025-02-05,2
783305,Primer,Gaya Hidup,Buruk,2025-02-06,6
540311,Tidak Terduga,Sial,Buruk,2025-02-07,6
192316,Primer,Kewajiban,Baik,2025-02-08,18
229122,Tidak Terduga,Luxury,Buruk,2025-02-09,20
341120,Sekunder,Teratur,Buruk,2025-02-10,9
258275,Sekunder,Kewajiban,Tidak Baik,2025-02-11,14
91324,Tersier,Luxury,Baik,2025-02-12,13
637314,Tersier,Irasional,Senang,2025-02-13,11
801476,Primer,Irasional,Senang,2025-02-14,6
598532,Primer,Irasional,Senang,2025-02-15,15
93918,Tidak Terduga,Teratur,Senang,2025-02-16,11
814309,Tidak Terduga,Teratur,Senang,2025-02-17,6
358838,Tersier,Terencana,Senang,2025-02-18,7
89942,Tersier,Kewajiban,Tidak Baik,2025-02-19,7
82578,Tidak Terduga,Terencana,Senang,2025-02-20,5
642554,Primer,Kewajiban,Tidak Baik,2025-02-21,17
529948,Tidak Terduga,Kewajiban,Buruk,2025-02-22,5
557276,Primer,Kewajiban,Buruk,2025-02-23,20
994047,Tidak Terduga,Luxury,Baik,2025-02-24,8
924141,Sekunder,Teratur,Senang,2025-02-25,1
586926,Sekunder,Kewajiban,Senang,2025-02-26,5
195080,Primer,Luxury,Tidak Baik,2025-02-27,1
89642,Primer,Gaya Hidup,Baik,2025-02-28,5
562496,Primer,Luxury,Baik,2025-03-01,11
114002,Tersier,Irasional,Buruk,2025-03-02,13
922697,Tersier,Esensial,Tidak Baik,2025-03-03,19
224851,Tidak Terduga,Terencana,Senang,2025-03-04,4
101849,Tersier,Esensial,Tidak Baik,2025-03-05,7
653939,Tidak Terduga,Teratur,Buruk,2025-03-06,7
101262,Tidak Terduga,Irasional,Senang,2025-03-07,1
738011,Tidak Terduga,Irasional,Tidak Baik,2025-03-08,8
933682,Primer,Luxury,Senang,2025-03-09,1
276629,Sekunder,Luxury,Senang,2025-03-10,8
453389,Tersier,Gaya Hidup,Tidak Baik,2025-03-11,7
155710,Tidak Terduga,Teratur,Baik,2025-03-12,9
963533,Sekunder,Kewajiban,Tidak Baik,2025-03-13,14
627347,Tidak Terduga,Irasional,Buruk,2025-03-14,15
288175,Primer,Esensial,Baik,2025-03-15,15
637040,Tidak Terduga,Sial,Senang,2025-03-16,3
653398,Tersier,Luxury,Senang,2025-03-17,4
71672,Sekunder,Gaya Hidup,Buruk,2025-03-18,14
679468,Primer,Terencana,Baik,2025-03-19,15
115965,Tidak Terduga,Teratur,Senang,2025-03-20,12
469589,Tersier,Sial,Senang,2025-03-21,1
719305,Tersier,Sial,Senang,2025-03-22,15
642024,Primer,Gaya Hidup,Baik,2025-03-23,14
622683,Tersier,Terencana,Buruk,2025-03-24,5
578177,Tersier,Gaya Hidup,Tidak Baik,2025-03-25,16
361737,Tersier,Esensial,Tidak Baik,2025-03-26,20
303432,Tersier,Luxury,Senang,2025-03-27,20
244181,Tidak Terduga,Terencana,Buruk,2025-03-28,12
732258,Primer,Kewajiban,Senang,2025-03-29,11
780981,Sekunder,Terencana,Baik,2025-03-30,8
359445,Sekunder,Sial,Baik,2025-03-31,2
280280,Tersier,Teratur,Senang,2025-04-01,6
308517,Tidak Terduga,Sial,Buruk,2025-04-02,9
445011,Tersier,Terencana,Buruk,2025-04-03,12
167235,Tersier,Irasional,Senang,2025-04-04,7
734318,Tidak Terduga,Esensial,Senang,2025-04-05,2
706856,Primer,Luxury,Buruk,2025-04-06,3
344569,Sekunder,Gaya Hidup,Buruk,2025-04-07,6
509434,Tidak Terduga,Teratur,Buruk,2025-04-08,8
361535,Sekunder,Teratur,Buruk,2025-04-09,19
818387,Tidak Terduga,Esensial,Baik,2025-04-10,18
106066,Tidak Terduga,Gaya Hidup,Senang,2025-04-11,9
39767,Tersier,Sial,Senang,2025-04-12,16
510547,Primer,Irasional,Senang,2025-04-13,6
681332,Sekunder,Terencana,Tidak Baik,2025-04-14,8
620341,Primer,Gaya Hidup,Tidak Baik,2025-04-15,1
134837,Tersier,Esensial,Buruk,2025-04-16,7
106819,Tidak Terduga,Irasional,Baik,2025-04-17,9
593750,Sekunder,Luxury,Tidak Baik,2025-04-18,5
253508,Primer,Irasional,Senang,2025-04-19,2
560458,Sekunder,Sial,Tidak Baik,2025-04-20,5
308082,Sekunder,Luxury,Baik,2025-04-21,18
168890,Sekunder,Irasional,Baik,2025-04-22,10
395962,Primer,Irasional,Buruk,2025-04-23,15
953653,Sekunder,Kewajiban,Senang,2025-04-24,3
102132,Primer,Terencana,Senang,2025-04-25,19
951981,Tidak Terduga,Terencana,Buruk,2025-04-26,1
286150,Primer,Teratur,Buruk,2025-04-27,3
417477,Tersier,Irasional,Baik,2025-04-28,15
328830,Sekunder,Kewajiban,Senang,2025-04-29,6
